GEO_ID,NAME,Estimate Households Mean income (dollars)
0500000US06001,Alameda County,138489
0500000US06003,Alpine County,107737
0500000US06005,Amador County,85184
0500000US06007,Butte County,79233
0500000US06009,Calaveras County,84164
0500000US06011,Colusa County,77326
0500000US06013,Contra Costa County,141278
0500000US06015,Del Norte County,67290
0500000US06017,El Dorado County,113718
0500000US06019,Fresno County,79175
0500000US06021,Glenn County,65185
0500000US06023,Humboldt County,70922
0500000US06025,Imperial County,63824
0500000US06027,Inyo County,73561
0500000US06029,Kern County,75161
0500000US06031,Kings County,75449
0500000US06033,Lake County,72862
0500000US06035,Lassen County,69249
0500000US06037,Los Angeles County,103220
0500000US06039,Madera County,77625
0500000US06041,Marin County,181737
0500000US06043,Mariposa County,64323
0500000US06045,Mendocino County,74102
0500000US06047,Merced County,76432
0500000US06049,Modoc County,59138
0500000US06051,Mono County,86977
0500000US06053,Monterey County,104485
0500000US06055,Napa County,129566
0500000US06057,Nevada County,96245
0500000US06059,Orange County,127056
0500000US06061,Placer County,120740
0500000US06063,Plumas County,76142
0500000US06065,Riverside County,93563
0500000US06067,Sacramento County,93028
0500000US06069,San Benito County,108229
0500000US06071,San Bernardino County,85327
0500000US06073,San Diego County,111241
0500000US06075,San Francisco County,167663
0500000US06077,San Joaquin County,90974
0500000US06079,San Luis Obispo County,100044
0500000US06081,San Mateo County,182158
0500000US06083,Santa Barbara County,111731
0500000US06085,Santa Clara County,174331
0500000US06087,Santa Cruz County,123689
0500000US06089,Shasta County,77167
0500000US06091,Sierra County,72924
0500000US06093,Siskiyou County,65853
0500000US06095,Solano County,104791
0500000US06097,Sonoma County,113067
0500000US06099,Stanislaus County,82369
0500000US06101,Sutter County,86703
0500000US06103,Tehama County,74237
0500000US06105,Trinity County,56776
0500000US06107,Tulare County,72092
0500000US06109,Tuolumne County,83401
0500000US06111,Ventura County,117576
0500000US06113,Yolo County,103461
0500000US06115,Yuba County,73030
