MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4
20221018,AK,100,0,0,0,0,0
20221018,AL,22.99,77.01,18.41,1.36,0,0
20221018,AR,0,100,97.59,77,23.52,0
20221018,AZ,0,100,46.83,12.78,0,0
20221018,CA,0,100,99.77,91.83,40.91,16.57
20221018,CO,23,77,43.01,14.02,3.09,0.57
20221018,CT,33.46,66.54,13.07,0,0,0
20221018,DC,100,0,0,0,0,0
20221018,DE,100,0,0,0,0,0
20221018,FL,69.77,30.23,18.19,0.34,0,0
20221018,GA,36.7,63.3,22.79,5.72,0,0
20221018,HI,12.73,87.27,74.04,36.7,3.72,0.24
20221018,IA,0,100,84.15,35.05,7.11,0.02
20221018,ID,0,100,90.92,27.06,3.1,0
20221018,IL,24.23,75.77,23.84,4.04,0,0
20221018,IN,0,100,29.67,0,0,0
20221018,KS,1.48,98.52,89.44,78.95,58.14,29.88
20221018,KY,14.09,85.91,69.88,10.47,0,0
20221018,LA,0,100,73.48,0,0,0
20221018,MA,12.27,87.73,41.32,6.53,0,0
20221018,MD,93.82,6.18,0,0,0,0
20221018,ME,96.49,3.51,0,0,0,0
20221018,MI,58.91,41.09,7.7,0,0,0
20221018,MN,21.25,78.75,44.79,15.28,4.2,0
20221018,MO,0,100,82.4,50.4,14.28,2.55
20221018,MS,6.07,93.93,32.78,0,0,0
20221018,MT,10.43,89.57,74.32,41.97,16.63,0
20221018,NC,72.69,27.31,6.87,0,0,0
20221018,ND,1.05,98.95,92.1,18.83,0,0
20221018,NE,0,100,98.39,81.19,42.42,11.49
20221018,NH,45.67,54.33,20.33,0,0,0
20221018,NJ,66.01,33.99,15.11,0,0,0
20221018,NM,4.94,95.06,49.06,23.09,7.01,0.19
20221018,NV,0,100,100,99.52,44.61,0
20221018,NY,83.44,16.56,4.82,0.75,0,0
20221018,OH,41,59,7.13,0,0,0
20221018,OK,0,100,100,99.82,82.26,29.71
20221018,OR,0.44,99.56,80.77,52.92,30.73,1.4
20221018,PA,98.17,1.83,0,0,0,0
20221018,PR,100,0,0,0,0,0
20221018,RI,64.78,35.22,0.79,0,0,0
20221018,SC,65.04,34.96,9.96,0,0,0
20221018,SD,0,100,69.9,29.76,12.24,1.25
20221018,TN,20.99,79.01,51.63,6.26,0,0
20221018,TX,6.59,93.41,71.77,43.11,12.8,1.4
20221018,UT,0,100,100,94.04,51.72,3.15
20221018,VA,87.1,12.9,1.52,0,0,0
20221018,VT,74.23,25.77,0.01,0,0,0
20221018,WA,0,100,61.36,17.38,0,0
20221018,WI,35.65,64.35,24.91,3.95,0,0
20221018,WV,99.98,0.02,0,0,0,0
20221018,WY,14.18,85.82,51.33,22.83,3.51,0
